number of APIs only in Python-3.3.0 : 115
number of APIs only in Python-3.2 : 76
number of APIs both have, but different : 2
number of APIs both have, and the same : 585
                       Python-3.3.0                                                  Python-3.2                         
========================================================================================================================
                int,PyDict_ClearFreeList()                                                -                             
void,PyErr_GetExcInfo(PyObject **,PyObject **,PyObject **)                                -                             
  void,PyErr_SetExcInfo(PyObject *,PyObject *,PyObject *)                                 -                             
PyObject *,PyErr_SetExcWithArgsKwargs(PyObject *,PyObject *,PyObject *)                               -                             
PyObject *,PyErr_SetImportError(PyObject *,PyObject *,PyObject *)                               -                             
PyObject *,PyFunction_NewWithQualName(PyObject *,PyObject *,PyObject *)                               -                             
      PyObject *,PyImport_AddModuleObject(PyObject *)                                     -                             
PyObject *,PyImport_ExecCodeModuleObject(PyObject *,PyObject *,PyObject *,PyObject *)                               -                             
     int,PyImport_ImportFrozenModuleObject(PyObject *)                                    -                             
PyObject *,PyImport_ImportModuleLevelObject(PyObject *,PyObject *,PyObject *,PyObject *,int)                               -                             
                  PyObject *,PyInit_imp()                                                 -                             
                int,PyList_ClearFreeList()                                                -                             
    PyObject *,PyLong_FromUnicodeObject(PyObject *,int)                                   -                             
 PyObject *,PyMemoryView_FromMemory(char *,Py_ssize_t,int)                                -                             
       PyObject *,PyModule_GetNameObject(PyObject *)                                      -                             
         PyObject *,PyModule_NewObject(PyObject *)                                        -                             
   PyObject *,PyObject_GenericGetDict(PyObject *,void *)                                  -                             
 int,PyObject_GenericSetDict(PyObject *,PyObject *,void *)                                -                             
struct _node *,PyParser_SimpleParseStringFlagsFilename(const char *,const char *,int,int)                               -                             
                 int,PySet_ClearFreeList()                                                -                             
                    void,PySlice_Fini()                                                   -                             
  int,PyState_AddModule(PyObject *,struct PyModuleDef *)                                  -                             
      int,PyState_RemoveModule(struct PyModuleDef *)                                      -                             
PyObject *,PyType_FromSpecWithBases(PyType_Spec *,PyObject *)                               -                             
       void,PyUnicode_Append(PyObject **,PyObject *)                                      -                             
    void,PyUnicode_AppendAndDel(PyObject **,PyObject *)                                   -                             
      PyObject *,PyUnicode_AsASCIIString(PyObject *)                                      -                             
PyObject *,PyUnicode_AsCharmapString(PyObject *,PyObject *)                               -                             
PyObject *,PyUnicode_AsDecodedObject(PyObject *,const char *,const char *)                               -                             
PyObject *,PyUnicode_AsDecodedUnicode(PyObject *,const char *,const char *)                               -                             
PyObject *,PyUnicode_AsEncodedObject(PyObject *,const char *,const char *)                               -                             
PyObject *,PyUnicode_AsEncodedString(PyObject *,const char *,const char *)                               -                             
PyObject *,PyUnicode_AsEncodedUnicode(PyObject *,const char *,const char *)                               -                             
      PyObject *,PyUnicode_AsLatin1String(PyObject *)                                     -                             
 PyObject *,PyUnicode_AsRawUnicodeEscapeString(PyObject *)                                -                             
Py_UCS4 *,PyUnicode_AsUCS4(PyObject *,Py_UCS4 *,Py_ssize_t,int)                               -                             
        Py_UCS4 *,PyUnicode_AsUCS4Copy(PyObject *)                                        -                             
      PyObject *,PyUnicode_AsUTF16String(PyObject *)                                      -                             
      PyObject *,PyUnicode_AsUTF32String(PyObject *)                                      -                             
            char *,PyUnicode_AsUTF8(PyObject *)                                           -                             
  char *,PyUnicode_AsUTF8AndSize(PyObject *,Py_ssize_t *)                                 -                             
       PyObject *,PyUnicode_AsUTF8String(PyObject *)                                      -                             
       Py_UNICODE *,PyUnicode_AsUnicode(PyObject *)                                       -                             
Py_UNICODE *,PyUnicode_AsUnicodeAndSize(PyObject *,Py_ssize_t *)                               -                             
  PyObject *,PyUnicode_AsUnicodeEscapeString(PyObject *)                                  -                             
               int,PyUnicode_ClearFreeList()                                              -                             
       int,PyUnicode_Compare(PyObject *,PyObject *)                                       -                             
int,PyUnicode_CompareWithASCIIString(PyObject *,const char *)                               -                             
    PyObject *,PyUnicode_Concat(PyObject *,PyObject *)                                    -                             
       int,PyUnicode_Contains(PyObject *,PyObject *)                                      -                             
